strain,ens_gene,log_bleach,log_settle
CB4856,WBGene00020574,7.57496565170432,6.55511450648137
CB4856,WBGene00020575,4.76823493782797,5.13442227400815
CB4856,WBGene00020576,11.3110222601076,10.5231183591222
CB4856,WBGene00020577,11.2730770117578,10.5014637188629
CB4856,WBGene00020579,10.1867561251481,10.0995414586184
CB4856,WBGene00020580,6.65247897158231,6.46619352389127
CB4856,WBGene00020581,10.87452855879,10.7496984554097
CB4856,WBGene00020582,4.86236963398638,4.85344305459737
CB4856,WBGene00020583,4.26781699956325,5.29711860411295
CB4856,WBGene00020584,3.73989286293289,3.45700673177937
CB4856,WBGene00020585,5.88005436663753,6.29660700956745
CB4856,WBGene00020586,5.93846689204536,5.70350075382935
CB4856,WBGene00020587,4.98250054257364,5.42517327923888
CB4856,WBGene00020588,13.1505979761693,13.3932877460795
CB4856,WBGene00020589,7.80051324677192,8.22385003740718
CB4856,WBGene00020590,3.23881791807524,4.41937713547304
CB4856,WBGene00020592,10.1113815164217,9.9449084959917
CB4856,WBGene00020593,7.49403149130969,7.5972430936454
CB4856,WBGene00020595,6.59821415387858,6.72257478128456
CB4856,WBGene00020596,10.0058914297866,10.0216035660004
CB4856,WBGene00020599,3.30044096510458,5.2424011099352
CB4856,WBGene00020600,10.4662522916308,10.566701380891
CB4856,WBGene00020601,10.3527018521132,10.3882566535348
CB4856,WBGene00020604,12.4526319954238,12.6478134458016
CB4856,WBGene00020605,7.0421905445761,7.2189021582559
CB4856,WBGene00020612,5.18611183878889,4.40821209975087
CB4856,WBGene00020625,8.94644849525593,9.09970982471826
CB4856,WBGene00020626,5.96948854684717,7.04728880624206
CB4856,WBGene00020627,8.60976745372787,7.94140697544834
CB4856,WBGene00020628,11.630582729375,11.5131689369608
CB4856,WBGene00020629,10.8125163367262,10.7492176981349
CB4856,WBGene00020630,9.45039950705005,9.5480861628246
CB4856,WBGene00020631,4.70958905637975,4.04277503743527
CB4856,WBGene00020633,9.38857926316309,9.47317573734385
CB4856,WBGene00020634,3.99169774698099,4.08687578376743
CB4856,WBGene00020635,5.93758757760384,5.58260643087704
CB4856,WBGene00020636,11.7333604053893,11.8726471927229
CB4856,WBGene00020637,4.29823048981684,2.07807708627932
CB4856,WBGene00020638,3.78443323912652,3.73947146440783
CB4856,WBGene00020639,7.05898737529035,7.16882948002649
CB4856,WBGene00020640,6.95886879664097,5.86142043454985
CB4856,WBGene00020646,4.35509848505452,4.37505378952327
CB4856,WBGene00020647,10.8262511132273,10.965229837958
CB4856,WBGene00020648,4.38598722291858,4.87222033511683
CB4856,WBGene00020649,10.4694884235397,9.61724354566177
CB4856,WBGene00020651,9.54334328804353,9.64145581217642
CB4856,WBGene00020652,11.8603983882587,12.0246166541652
CB4856,WBGene00020653,3.4689909597398,4.05440089506244
CB4856,WBGene00020656,3.94949290337966,3.00028092965325
CB4856,WBGene00020657,5.09213485932698,4.74294943688734
CB4856,WBGene00020658,10.4077025183781,10.6472494009445
CB4856,WBGene00020659,7.01149984720398,6.52779269693833
CB4856,WBGene00020661,9.15401658828762,8.9759284350928
CB4856,WBGene00020662,14.26171600387,14.0064898893154
CB4856,WBGene00020663,3.28755133561801,3.33611506852284
CB4856,WBGene00020665,5.24691375174862,5.83434499434944
CB4856,WBGene00020670,2.96404506122426,3.80886368992384
CB4856,WBGene00020672,6.60072129613266,6.63126294561082
CB4856,WBGene00020673,7.78350073351413,8.12938049832524
CB4856,WBGene00020674,10.2853454032455,8.07578502191921
CB4856,WBGene00020675,4.73676600818687,4.44917673560432
CB4856,WBGene00020678,10.2335219456048,10.5374856025813
CB4856,WBGene00020679,13.6639049814678,13.3960995174236
CB4856,WBGene00020682,11.8272136959569,11.8192865326567
CB4856,WBGene00020683,12.842662714519,12.9448524335266
CB4856,WBGene00020684,12.1749444666234,12.3845045676798
CB4856,WBGene00020686,3.74286873831892,3.46688165611516
