comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00009689,10.3576875451557,1.5355908252359,up,No
BRC20067_vs_N2,WBGene00009698,77.212833506409,1.82270072643392,up,No
BRC20067_vs_N2,WBGene00009706,366.344521488107,-1.12236289293832,down,Yes
BRC20067_vs_N2,WBGene00009738,152.645065943426,-0.773451338524615,down,No
BRC20067_vs_N2,WBGene00009758,33.1065910826512,1.86517775385104,up,No
BRC20067_vs_N2,WBGene00009778,443.621941059722,-1.95816212800524,down,No
BRC20067_vs_N2,WBGene00009848,63.5156534980665,-0.748498130623763,down,No
BRC20067_vs_N2,WBGene00009861,36.4488298762533,1.59212716829082,up,No
BRC20067_vs_N2,WBGene00009892,22.8635368314371,-3.01300368820281,down,No
BRC20067_vs_N2,WBGene00009898,1375.15103258881,1.77084217108316,up,No
BRC20067_vs_N2,WBGene00009929,113.44312915012,-0.698587343179111,down,No
BRC20067_vs_N2,WBGene00009988,41.1388107297553,-0.909641033186794,down,No
BRC20067_vs_N2,WBGene00010048,959.769794781523,-0.767512101572517,down,No
BRC20067_vs_N2,WBGene00010066,231.195129720017,0.738165888701959,up,No
BRC20067_vs_N2,WBGene00010100,10.5027695889433,2.08441278489483,up,No
BRC20067_vs_N2,WBGene00010101,23.7675992243907,2.29679058136902,up,No
BRC20067_vs_N2,WBGene00010102,13.2037791405004,1.856736358532,up,No
BRC20067_vs_N2,WBGene00010125,54.2211946048868,-1.44199665493237,down,No
BRC20067_vs_N2,WBGene00010128,294.78175062637,-1.21446083000505,down,No
BRC20067_vs_N2,WBGene00010166,97.3985240980193,7.96855790363759,up,Yes
BRC20067_vs_N2,WBGene00010189,21.0537138516838,1.28170064307646,up,No
BRC20067_vs_N2,WBGene00010199,1652.17827343146,0.588386153605309,up,No
BRC20067_vs_N2,WBGene00010238,171.260841275151,1.31390098360119,up,No
BRC20067_vs_N2,WBGene00010248,200.442557243486,2.04746673439629,up,No
BRC20067_vs_N2,WBGene00010277,216.493965791611,0.815656151026312,up,No
BRC20067_vs_N2,WBGene00010296,910.41318832451,0.958378164291863,up,Yes
BRC20067_vs_N2,WBGene00010377,565.664622037315,-0.970047462229107,down,No
BRC20067_vs_N2,WBGene00010379,24.2367814334588,-2.60556131190758,down,No
BRC20067_vs_N2,WBGene00010399,26.5964243030076,-6.1267854091623,down,No
BRC20067_vs_N2,WBGene00010401,17.9216545262228,-3.35165300105626,down,No
BRC20067_vs_N2,WBGene00010420,1730.15049171739,0.617653044802931,up,No
BRC20067_vs_N2,WBGene00010451,20.9184434949054,-1.43421706463121,down,No
BRC20067_vs_N2,WBGene00010481,255.253584322161,-1.7723451557336,down,No
BRC20067_vs_N2,WBGene00010495,101.101919361309,1.31701890364451,up,No
BRC20067_vs_N2,WBGene00010545,288.690756720047,-9.3198497077759,down,No
BRC20067_vs_N2,WBGene00010550,533.438407167259,0.83572989707239,up,No
BRC20067_vs_N2,WBGene00010566,40.6603597254204,-1.04890709848585,down,No
BRC20067_vs_N2,WBGene00010584,12.4438268528584,-1.01861431819243,down,No
BRC20067_vs_N2,WBGene00010585,111.728551873601,1.61455800205799,up,No
BRC20067_vs_N2,WBGene00010605,7051.33566519657,-1.02087095474012,down,No
BRC20067_vs_N2,WBGene00010606,134.295519926909,0.949588400982379,up,No
BRC20067_vs_N2,WBGene00010628,383.152273300366,0.596409625136852,up,Yes
BRC20067_vs_N2,WBGene00010649,63.4028008954077,-0.872110588943117,down,No
BRC20067_vs_N2,WBGene00010657,679.51229710863,1.66482402265636,up,No
BRC20067_vs_N2,WBGene00010708,15.6803098895792,1.62585641079351,up,No
BRC20067_vs_N2,WBGene00010722,265.620124190103,-0.76189973456261,down,No
BRC20067_vs_N2,WBGene00010754,38.5408522589735,1.15328664999551,up,No
BRC20067_vs_N2,WBGene00010821,11.214426269693,5.80957459985247,up,No
BRC20067_vs_N2,WBGene00010850,386.76308447025,-12.1860351112046,down,No
BRC20067_vs_N2,WBGene00010851,104.194984456632,-10.2953546094227,down,No
BRC20067_vs_N2,WBGene00010887,269.063195549196,0.645096138773479,up,No
BRC20067_vs_N2,WBGene00010931,229.610719763482,0.891649865267887,up,No
BRC20067_vs_N2,WBGene00010953,22.9993948298721,2.99400543717768,up,No
BRC20067_vs_N2,WBGene00010964,110688.995098993,0.616124340627167,up,Yes
BRC20067_vs_N2,WBGene00010989,166.263001950624,-2.74747741426508,down,No
BRC20067_vs_N2,WBGene00011006,942.139702181855,0.787599076614466,up,Yes
BRC20067_vs_N2,WBGene00011009,11.0276847742473,1.05417950245133,up,No
BRC20067_vs_N2,WBGene00011042,289.81634743305,0.795752395304168,up,No
BRC20067_vs_N2,WBGene00011056,920.225934018435,0.679113322520823,up,No
BRC20067_vs_N2,WBGene00011070,87.7281943923421,-0.904493402130933,down,No
BRC20067_vs_N2,WBGene00011184,65.9144212354252,1.55235681840473,up,No
BRC20067_vs_N2,WBGene00011229,57.1096301247228,1.56056900003319,up,No
BRC20067_vs_N2,WBGene00011231,119.398900927848,1.25097853236322,up,No
BRC20067_vs_N2,WBGene00011325,29.4778569279678,-0.774658919453442,down,No
BRC20067_vs_N2,WBGene00011400,292.725124437193,0.626855523300092,up,No
BRC20067_vs_N2,WBGene00011435,282.038342256541,1.26210394709058,up,No
BRC20067_vs_N2,WBGene00011475,139.179415963371,1.71676755839323,up,No
BRC20067_vs_N2,WBGene00011487,1919.84320687889,-1.13774475285813,down,No
BRC20067_vs_N2,WBGene00011583,80.3996122622367,-3.71753103717932,down,No
BRC20067_vs_N2,WBGene00011584,26.5964243030076,-6.1267854091623,down,No
BRC20067_vs_N2,WBGene00011606,35.4743536685859,-1.00425671233233,down,No
BRC20067_vs_N2,WBGene00011610,47.0419236304706,-0.694223838033166,down,No
BRC20067_vs_N2,WBGene00011613,122.445288380344,-0.683429444220814,down,No
BRC20067_vs_N2,WBGene00011668,1409.82626580792,1.87804894147983,up,No
BRC20067_vs_N2,WBGene00011673,19.1513727975652,0.940179403916322,up,No
BRC20067_vs_N2,WBGene00011683,209.154830661919,-1.05949450279023,down,No
BRC20067_vs_N2,WBGene00011691,395.901122134265,0.58701132111004,up,No
